step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.038011568604391,0,0.0,0.8875727422101458,0,0.0
10.0,0,0.0,0.0,10.27664311117234,0,0.0,0.7757849941531356,0,0.0
15.0,4,10.0,0.5555555555555556,7.8124784693464795,4,10.0,0.5127372854183158,4,10.0
20.0,7,40.0,2.2222222222222223,7.277323467611168,7,40.0,0.40831644871748474,7,40.0
25.0,8,80.0,3.6363636363636362,6.766418327264862,8,80.0,0.3297527678148187,8,80.0
30.0,10,130.0,6.5,6.3070153951665056,10,130.0,0.3431596119631275,10,130.0
35.0,10,180.0,7.826086956521739,6.117702265081705,10,180.0,0.28317683606388167,10,180.0
40.0,7,148.0,5.6923076923076925,6.75228093082349,7,176.0,0.45504681394166885,7,176.0
45.0,7,183.0,6.535714285714286,8.00531457419706,7,183.0,0.48709632865559654,7,183.0
50.0,11,229.0,7.896551724137931,6.5745839127801835,11,229.0,0.27902389394953875,11,229.0
55.0,11,254.0,8.758620689655173,5.29802631787906,11,273.0,0.2865830911364169,11,273.0
60.0,10,303.0,11.222222222222221,6.47797729935201,10,305.0,0.3038611148253197,10,305.0
65.0,12,357.0,11.516129032258064,7.620600555137826,12,357.0,0.2998794569921177,12,357.0
70.0,12,417.0,15.444444444444445,6.840008726095456,12,417.0,0.26959248688428716,12,417.0
75.0,10,453.0,14.15625,6.802562845020736,10,455.0,0.47253884960116865,10,455.0
80.0,14,512.0,17.066666666666666,6.787715454225909,14,512.0,0.42727489447022254,14,512.0
85.0,15,583.0,16.194444444444443,4.5004300785835305,15,583.0,0.2424454694052708,15,583.0
90.0,18,632.0,19.75,3.6168338789486465,18,656.0,0.21804240776843992,18,656.0
95.0,16,707.0,20.2,5.071826469512805,16,712.0,0.2761252789684243,16,712.0
100.0,18,790.0,21.944444444444443,6.266932902209686,18,790.0,0.21987290945390733,18,790.0
105.0,18,880.0,24.444444444444443,6.242146554446382,18,880.0,0.31158694554412697,18,880.0
110.0,19,971.0,26.243243243243242,5.836244933136051,19,971.0,0.3000354489511541,19,971.0
115.0,20,1071.0,29.75,5.614218239731818,20,1071.0,0.2973650192073173,20,1071.0
120.0,23,1176.0,33.6,3.510158778656833,23,1176.0,0.14946076971153435,23,1176.0
125.0,26,1302.0,35.189189189189186,3.7613234488448177,26,1302.0,0.20159760267800375,26,1302.0
130.0,26,1432.0,39.77777777777778,3.3556833541116067,26,1432.0,0.17002933770559492,26,1432.0
135.0,22,1414.0,35.35,4.316862313273589,22,1486.0,0.22937432527638343,22,1486.0
140.0,23,1517.0,37.925,4.705969259773197,23,1520.0,0.2096384149662271,23,1520.0
145.0,24,1636.0,37.18181818181818,4.825778295107589,24,1636.0,0.20883927130984628,24,1636.0
150.0,22,1714.0,36.46808510638298,5.449217593007763,22,1736.0,0.30586474980318695,22,1736.0
155.0,22,1814.0,43.19047619047619,4.004638803035511,22,1817.0,0.15771929260717463,22,1817.0
160.0,28,1946.0,42.30434782608695,5.142708156034039,28,1946.0,0.16196753289690202,28,1946.0
165.0,28,2086.0,49.666666666666664,4.446384797351176,28,2086.0,0.16557800238248813,28,2086.0
170.0,26,2200.0,52.38095238095238,3.6151076980760157,26,2200.0,0.17486347898463414,26,2200.0
175.0,28,2339.0,58.475,3.629480174038188,28,2339.0,0.13836260810212317,28,2339.0
180.0,31,2484.0,59.142857142857146,3.062983205213944,31,2484.0,0.12209395734844623,31,2484.0
185.0,26,2590.0,57.55555555555556,3.6950640467691125,26,2608.0,0.21802177950930907,26,2608.0
190.0,28,2722.0,56.708333333333336,4.159332968323166,28,2722.0,0.16518278398670924,28,2722.0
195.0,31,2872.0,61.1063829787234,4.286812123537924,31,2872.0,0.1418816264217276,31,2872.0
200.0,32,3031.0,64.48936170212765,3.975771951042914,32,3031.0,0.14902579075251277,32,3031.0
205.0,31,3172.0,70.4888888888889,3.1843348755429606,31,3172.0,0.14971546434163777,31,3172.0
210.0,32,3328.0,72.34782608695652,3.286595610210243,32,3328.0,0.15483543079707066,32,3328.0
215.0,35,3497.0,77.71111111111111,2.848677496884108,35,3497.0,0.12914480020681043,35,3497.0
220.0,32,3624.0,68.37735849056604,3.3631287762775286,32,3644.0,0.2246172528040487,32,3644.0
225.0,35,3786.0,71.43396226415095,3.786374618253103,35,3787.0,0.18610179576310754,35,3787.0
230.0,38,3967.0,68.39655172413794,4.247916519824269,38,3967.0,0.15635892011478028,38,3967.0
235.0,39,4162.0,77.07407407407408,3.520483895822307,39,4162.0,0.12383429899963154,39,4162.0
240.0,39,4357.0,82.20754716981132,2.7617573238332733,39,4357.0,0.11113695089647112,39,4357.0
245.0,36,4493.0,84.77358490566037,3.1951668103450266,36,4511.0,0.13230314404180973,36,4511.0
250.0,36,4673.0,86.53703703703704,3.55691809699964,36,4673.0,0.14191192174769837,36,4673.0
255.0,40,4865.0,85.35087719298245,3.669745162992355,40,4865.0,0.168351984221092,40,4865.0
260.0,38,5035.0,86.8103448275862,2.522093074503634,38,5045.0,0.12061819300897371,38,5045.0
265.0,40,5235.0,91.84210526315789,3.344481888811026,40,5235.0,0.13384911486289575,40,5235.0
270.0,42,5441.0,90.68333333333334,3.908666191087788,42,5441.0,0.13881782362211775,42,5441.0
275.0,37,4511.0,82.01818181818182,3.091656893034054,37,5121.0,0.11704550606866963,37,5121.0
280.0,37,4597.0,79.25862068965517,4.045947267599722,37,4597.0,0.15607249661668385,37,4597.0
285.0,41,4793.0,87.14545454545454,3.280623524193722,41,4793.0,0.1156240510006316,41,4793.0
290.0,38,4953.0,81.19672131147541,3.1293774588135537,38,4971.0,0.1692653192056964,38,4971.0
295.0,42,5145.0,87.20338983050847,3.4294241776832717,42,5147.0,0.1625028124757626,42,5147.0
300.0,42,5355.0,87.78688524590164,3.655323778620725,42,5355.0,0.12061934217656604,42,5355.0
305.0,45,5578.0,91.44262295081967,3.329570634916393,45,5578.0,0.11018112608343844,45,5578.0
310.0,46,5808.0,100.13793103448276,2.7196858495257508,46,5808.0,0.11993631096213823,46,5808.0
315.0,42,5822.0,100.37931034482759,2.4682326672073986,42,5940.0,0.116605754345344,42,5940.0
320.0,39,5984.0,101.42372881355932,3.5700469527469623,39,6019.0,0.1611620727561818,39,6019.0
325.0,43,6186.0,98.19047619047619,3.476788204003767,43,6186.0,0.12375373440082019,43,6186.0
330.0,40,6365.0,107.88135593220339,2.581063134129206,40,6380.0,0.082596870921791,40,6380.0
335.0,40,6565.0,107.62295081967213,3.5077507418142435,40,6565.0,0.12353166556156488,40,6565.0
340.0,42,6769.0,116.70689655172414,3.5267546085799033,42,6769.0,0.11482106752682741,42,6769.0
345.0,42,6979.0,120.32758620689656,3.4991344685380277,42,6979.0,0.11266922237884365,42,6979.0
350.0,40,7165.0,132.6851851851852,2.6834331948783636,40,7165.0,0.1236392026525376,40,7165.0
355.0,42,7369.0,131.58928571428572,2.814456898824271,42,7369.0,0.11455544957133061,42,7369.0
360.0,44,7588.0,140.5185185185185,2.192495081196974,44,7588.0,0.07507611739448457,44,7588.0
365.0,41,7766.0,133.89655172413794,2.506884230830688,41,7784.0,0.1504790503852311,41,7784.0
370.0,40,7965.0,139.73684210526315,3.6065172629598528,40,7965.0,0.16665287760298833,40,7965.0
375.0,41,8166.0,131.70967741935485,3.7981140809024314,41,8166.0,0.1444454535982466,41,8166.0
380.0,44,8386.0,149.75,2.7527133790061242,44,8386.0,0.11383139871399782,44,8386.0
385.0,42,8423.0,145.22413793103448,2.4681780220214646,42,8440.0,0.12774209907070314,42,8440.0
390.0,45,8646.0,154.39285714285714,2.5739731089470763,45,8646.0,0.11173796744591509,45,8646.0
395.0,47,8874.0,150.40677966101694,1.7817018852281359,47,8874.0,0.08063799894152102,47,8874.0
400.0,45,9063.0,156.25862068965517,1.7372521650658717,45,9089.0,0.10801991137037781,45,9089.0
405.0,44,9279.0,152.11475409836066,2.908835859128126,44,9283.0,0.12755358485055865,44,9283.0
410.0,46,9505.0,150.87301587301587,3.469617793531204,46,9505.0,0.11080007084678961,46,9505.0
415.0,41,7416.0,117.71428571428571,3.1107696186634897,41,8933.0,0.12987912559171452,41,8933.0
420.0,34,4355.0,73.8135593220339,3.2056707187353894,34,7601.0,0.12315128278237467,34,7601.0
425.0,29,2512.0,40.516129032258064,4.316508596378906,29,5709.0,0.18571047586506795,29,5709.0
430.0,18,823.0,13.94915254237288,4.480457152333313,18,5805.0,0.2088508711949747,18,5805.0
435.0,18,417.0,6.725806451612903,5.470642984821582,18,5852.0,0.2883621776078925,18,5852.0
440.0,26,531.0,8.564516129032258,4.849085329164056,26,5964.0,0.2056080366086302,26,5964.0
445.0,34,683.0,10.348484848484848,3.5601729153471235,34,6116.0,0.16269136729191216,34,6116.0
450.0,42,882.0,14.0,2.3079456504974476,42,6315.0,0.10329104474064245,42,6315.0
455.0,46,698.0,10.417910447761194,2.2787904807508976,46,6385.0,0.1232050474940736,46,6385.0
460.0,43,660.0,9.850746268656716,2.7860971789190163,43,6352.0,0.13860467310396568,43,6352.0
465.0,44,872.0,12.457142857142857,3.6155390782410493,44,6354.0,0.14199570653863508,44,6354.0
470.0,44,1056.0,15.304347826086957,3.0273106994058288,44,6560.0,0.1168468033762052,44,6560.0
475.0,46,1273.0,19.28787878787879,3.0871665165864943,46,6759.0,0.1176666328991826,46,6759.0
480.0,47,1504.0,23.5,3.1154238934711347,47,6986.0,0.07124367444092247,47,6986.0
485.0,48,1743.0,27.234375,3.2850923297988297,48,7225.0,0.13905265039991246,48,7225.0
